year,month,day,price,downpmt,monthdue,payment_left,monthly_payment,pmttype,credit_score,age,gender,default
2020,1,12,2178.85,250,6,1928.85,321.475,4,1,0,2,0
2020,6,15,1543.65,1543.65,6,0,0,1,0,0,2,0
2020,4,19,1107.67,125,5,982.67,196.534,1,0,0,2,0
2020,3,17,950.44,237.61,9,712.83,79.20333333,5,0,0,1,0
2020,8,21,1436,250,9,1186,131.7777778,3,0,0,2,0
2020,6,19,1248,150,12,1098,91.5,1,0,0,1,0
2020,2,16,249,249,8,0,0,1,0,0,2,0
2020,7,25,909.79,350,13,559.79,43.06076923,5,1,0,2,0
2020,5,16,1677,125,10,1552,155.2,1,0,0,2,1
2020,12,21,1844,1844,9,0,0,1,7,0,1,0
2020,8,10,1179,46,10,1133,113.3,1,0,0,2,1
2020,1,17,264.25,264.25,6,0,0,1,3,0,2,0
2020,4,20,838,30,20,808,40.4,1,0,0,2,0
2020,3,9,439,439,9,0,0,1,0,0,2,0
2020,6,8,863.84,863.84,9,0,0,1,1,0,1,0
2020,7,14,1497,1497,6,0,0,5,0,0,2,0
2020,3,17,1178,250,2.75,928,337.4545455,1,0,0,2,1
2020,1,6,1868.4,1868.4,6,0,0,1,0,0,1,0
2020,9,25,1108,50,5.5,1058,192.3636364,1,7,0,1,0
2020,1,19,1228,1228,6,0,0,1,0,0,1,0
2020,11,4,1895,1895,6,0,0,1,0,0,2,0
2020,1,23,1028,1028,7.5,0,0,1,8,0,1,0
2020,10,5,599,26,5.5,573,104.1818182,1,0,0,1,1
2020,11,24,885.35,885.35,6,0,0,1,0,0,2,0
2020,12,3,1677,200,10,1477,147.7,5,0,0,2,0
2020,12,7,1329.31,37,5.5,1292.31,234.9654545,5,0,0,1,0
2020,1,21,1219.23,1219.23,6,0,0,1,0,0,1,0
2020,4,14,344,344,10,0,0,1,0,0,2,0
2020,11,15,1108,75,5.5,1033,187.8181818,4,4,0,2,0
2020,8,6,1148,1148,6,0,0,1,0,0,1,0
2020,2,18,410.27,210.27,10,200,20,1,0,0,1,0
2020,5,3,599,50,2.75,549,199.6363636,5,0,0,1,0
2020,4,3,809,809,10,0,0,1,0,0,2,0
2020,9,4,1228,100,8.5,1128,132.7058824,4,7,0,2,0
2020,8,6,1228,30,8.5,1198,140.9411765,1,0,0,1,0
2020,10,22,1058,750,4.5,308,68.44444444,4,0,0,2,0
2020,11,1,1177.25,175,5.5,1002.25,182.2272727,1,0,0,2,0
2020,3,11,529.34,529.34,8,0,0,1,0,0,2,0
2020,7,8,859,50,5.5,809,147.0909091,1,7,0,1,0
2020,9,5,0,0,16,0,0,1,0,0,2,0
2020,9,12,529.34,529.34,10,0,0,1,1,0,1,0
2020,6,13,0,0,11,0,0,1,0,0,2,0
2020,10,24,1192,175,15,1017,67.8,5,0,0,2,0
2020,11,9,1967,1967,10,0,0,1,0,0,2,0
2020,3,13,156,156,8,0,0,1,0,0,2,0
2020,3,13,1635.84,125,11,1510.84,137.3490909,1,0,0,2,1
2020,1,1,1248,75,12,1173,97.75,4,0,0,2,0
2020,8,23,2128.07,250,2.75,1878.07,682.9345455,5,1,0,2,0
2020,6,21,1328,175,10,1153,115.3,1,0,0,2,0
2020,4,8,1198,150,8.5,1048,123.2941176,1,0,0,2,0
2020,10,9,1186.77,125,5.5,1061.77,193.0490909,4,1,0,2,0
2020,9,8,1538.67,200,2.75,1338.67,486.7890909,4,0,0,1,0
2020,12,13,1975,1975,6,0,0,1,0,0,2,0
2020,10,10,0,0,10,0,0,1,0,0,1,0
2020,12,3,1191.99,75,10,1116.99,111.699,4,0,0,2,0
2020,9,5,2914.95,2914.95,7,0,0,1,0,0,2,0
2020,6,17,1428,25,10,1403,140.3,1,0,0,2,1
2020,8,7,429,429,10,0,0,1,4,0,2,0
2020,4,22,199,199,10,0,0,1,0,0,1,0
2020,4,6,1296.99,1296.99,6,0,0,1,0,0,2,0
2020,4,16,1317.03,150,2.75,1167.03,424.3745455,1,7,0,1,0
2020,1,10,1378,175,2.75,1203,437.4545455,4,1,0,1,0
2020,1,9,599,100,2.75,499,181.4545455,1,4,0,1,0
2020,10,15,859,34,5.5,825,150,4,1,0,2,0
2020,1,5,1545.81,200,2.75,1345.81,489.3854545,5,0,0,1,0
2020,8,19,215.42,215.42,9,0,0,1,1,0,2,0
2020,4,4,1228,75,2.75,1153,419.2727273,4,0,0,1,0
2020,12,15,1179,50,10,1129,112.9,1,0,0,1,1
2020,6,25,648.42,25,5.96,623.42,104.6006711,1,0,0,2,1
2020,4,10,0,0,11,0,0,1,1,0,2,0
2020,10,18,2552.54,150,4.46,2402.54,538.6860987,1,0,0,2,1
2020,12,13,1808.99,600,1.45,1208.99,833.7862069,5,0,0,2,0
2020,4,4,1926,150,10,1776,177.6,4,0,0,1,0
2020,12,1,922,200,2.75,722,262.5454545,5,6,0,2,0
2020,5,24,1397,225,2.75,1172,426.1818182,5,1,0,1,0
2020,2,14,648.42,648.42,15,0,0,1,4,0,2,0
2020,3,3,1148,275,9,873,97,5,5,0,2,0
2020,5,7,1257,100,5.5,1157,210.3636364,4,0,0,2,0
2020,11,6,1228,50,5.5,1178,214.1818182,3,1,0,2,0
2020,2,15,1148,200,6,948,158,5,0,0,1,0
2020,8,5,1270.38,51,5.93,1219.38,205.6290051,1,0,0,1,1
2020,6,5,1007.99,50,14,957.99,68.42785714,1,1,0,2,0
2020,6,9,1297,1297,6,0,0,1,0,0,2,0
2020,8,19,1491.69,175,2.75,1316.69,478.7963636,1,0,0,1,0
2020,10,4,599,5,5.5,594,108,1,0,0,1,0
2020,3,25,1301.37,1301.37,6,0,0,1,1,0,1,0
2020,10,21,1378,1378,7,0,0,1,1,0,1,0
